name,mass,distance
11 Com b,6165.6,93.1846
11 UMi b,4684.8142,125.321
14 And b,1525.5,75.4392
14 Her b,2586.74645,17.9323
16 Cyg B b,565.7374,21.1397
17 Sco b,1373.01872,124.953
18 Del b,3273.5,76.222
1RXS J160929.1-210524 b,3000,139.135
24 Boo b,289.2253,95.9863
24 Sex b,632.46,72.0691
24 Sex c,273.32,72.0691
2M0437 b,1271.31363,128.484
2MASS J01033563-5515561 AB b,4131.79,47.2
2MASS J01225093-2439505 b,7786.5,33.8281
2MASS J02192210-3925225 b,4417.837,40.0896412
2MASS J04414489+2301513 b,2383.6,120.423987
2MASS J12073346-3932539 b,1589.15,64.308
2MASS J19383260+4603591 b,603.877,396.332
2MASS J22362452+4751425 b,3972.875,69.5737
30 Ari B b,4392.4106,44.657
4 UMa b,2256.5,73.4603
42 Dra b,1233.13,90.6545
47 UMa b,804.08,13.7967
47 UMa c,171.621,13.7967
47 UMa d,521.22,13.7967
51 Eri b,635.66,29.7575
51 Peg b,146.2018,15.4614
55 Cnc b,263.9785,12.5855
55 Cnc c,54.4738,12.5855
55 Cnc d,1232.493,12.5855
55 Cnc e,7.99,12.5855
55 Cnc f,44.812,12.5855
6 Lyn b,638.8383,54.6599
61 Vir b,5.1,8.50332
61 Vir c,18.2,8.50332
61 Vir d,22.9,8.50332
7 CMa b,587.9855,19.8101
7 CMa c,276.5121,19.8101
70 Vir b,2380.45,17.9011
75 Cet b,953.49,82.9613
8 UMi b,416.3573,162.552
81 Cet b,1684.4,101.26
91 Aqr b,1017,44.0304
AB Aur b,2860.45566,162.127
AB Pic b,4290.5,50.0475
AF Lep b,1664.46737,26.8564
AU Mic b,20.12,9.7221
AU Mic c,9.6,9.7221
BD+03 2562 b,2034.112,1070.63
BD+14 4559 b,330.5432,49.352
BD+15 2375 b,337.21763,768.045
BD+15 2940 b,352.78,426.42
BD+20 2457 b,17668.1697,1539.71
BD+20 2457 c,3963.17,1539.71
BD+20 274 b,1334.886,1322.51
BD+20 594 b,22.2481,179.461
BD+45 564 b,432.24663,53.622
BD+48 738 b,289.2253,871.493
BD+48 740 b,540.311,666.589
BD+49 828 b,508.5,442.042
BD+55 362 b,228.83645,52.5697
BD+60 1417 b,4767.4261,44.9543
BD+63 1405 b,1258.60049,38.0473
BD-00 4475 b,7961.6016,42.6402
BD-06 1339 b,8.5,20.2695
BD-06 1339 c,53,20.2695
BD-08 2823 b,12.7132,41.3342
BD-08 2823 c,104,41.3342
BD-10 3166 b,187.5197,84.4069
BD-11 4672 b,206.5895,27.1665
BD-11 4672 c,15.37,27.1665
BD-13 2130 b,3108.3774,925.214
BD-17 63 b,1620.9,34.4603
CD Cet b,3.95,8.60715
CFBDSIR J145829+101343 b,3337.1,23.1
CHXR 73 b,3994.486,190.374
CI Tau b,3686.828,157.998
COCONUTS-2 b,2002.31896,10.8864
CT Cha b,5403,190.72
CoRoT-1 b,327.35,787.909
CoRoT-10 b,874,338.386
CoRoT-11 b,740.51,655.037
CoRoT-12 b,291.438,1126.37
CoRoT-13 b,415.704,1148.93
CoRoT-14 b,2415.4,1744.6
CoRoT-16 b,170.032,732.409
CoRoT-17 b,772.29,1176.12
CoRoT-18 b,1102.82,764.889
CoRoT-19 b,352.78,790.663
CoRoT-2 b,1102.82,213.283
CoRoT-20 b,1366.669,844.061
CoRoT-20 c,5403.11,844.061
CoRoT-21 b,718.2958,1398.834197
CoRoT-22 b,12.2,627.158
CoRoT-23 b,889.9,1060.97
CoRoT-24 b,5.7,591.555
CoRoT-24 c,28,591.555
CoRoT-25 b,85.81,1103.48
CoRoT-26 b,165.26,1045.18
CoRoT-27 b,3302.11,1010.28
CoRoT-28 b,153.82972,766.183
CoRoT-29 b,270.1555,806.507
CoRoT-3 b,6883.91,768.771
CoRoT-30 b,921.707,1032.23
CoRoT-31 b,266.9772,2005.76
CoRoT-35 b,349.61125,1123.21
CoRoT-36 b,216.12332,925.958
CoRoT-4 b,228.83,726.412
CoRoT-5 b,148.42,882.472
